,received1 low,received1 high,received2 low,received2 high,received3 low,received3 high,received4 low,received4 high,received5 low,received5 high,received6 low,received6 high,sent
0,(15.6542398+25j),(15.6542398+30j),(35+25j),(35+30j),(37.547823+25j),(37.547823+30j),(45+25j),(45+30j),(65.32456+25j),(65.32456+30j),(75+25j),(75+30j),0j
1,(-0.15457358446559885+0.12144256991213989j),(-0.1439129937550867+0.08233729737291215j),(-0.20904821459046616+0.08058913997919692j),(-0.1624747454903743+0.01047269206677658j),(-0.1846097754477372+0.021876681902676165j),(-0.14036335872359557+0.01660183037334404j),(-0.20217858162881996-0.08950469235452667j),(-0.18143784551660105+0.015503828936624196j),(-0.1958220778761775+0.017504025587115328j),(-0.19892552251892523-0.06334270194879307j),(-0.16023856987432616-0.14241668988168726j),(-0.18283292665839454-0.06951810413163467j),(-0.11721329008723645+0.11721329008723645j)
2,(-0.7856978264613677+0.7533044326202285j),(-0.846026336582533+0.8658533063746096j),(-1.0606448857002135+0.5935061506139473j),(-1.0716568500004044+0.503733456249431j),(-1.0835221213554116+0.44620032706772234j),(-1.043548162673502+0.4987098628789795j),(-1.1258200258516655+0.2919392922265317j),(-1.1818124259741487+0.29423078239982364j),(-1.2011690741914436-0.11180913058528491j),(-1.192226763875623-0.11173744745153784j),(-1.2046453946517761-0.3251948019784264j),(-1.1981367933235374-0.24202458794575626j),(-0.5860664504361822+1.054919610785128j)
3,(-1.303544594957844+0.4874685361645863j),(-1.2425008234523058+0.4919781334373905j),(-1.3672134595074328+0.15702918526499654j),(-1.2961288385097645+0.07620007270859339j),(-1.3816712807103175-0.021652330497045475j),(-1.3544949077175186+0.023534315916971922j),(-1.3559551603266393-0.18474237569575908j),(-1.3400847090338528-0.16069017145808687j),(-1.1543873651735699-0.6129341313969834j),(-1.190359645142708-0.5725368673753227j),(-1.1046464578037933-0.792476593579016j),(-1.070730881545789-0.8280076683053476j),(-1.054919610785128+0.8204930306106551j)
4,(0.32468286442196415+0.3907138201255215j),(0.22962969331145555+0.4267827905999682j),(0.1105187964734067+0.41935822397595446j),(0.04528352576116462+0.5271313076186726j),(0.05300606386983765+0.49760244893230443j),(0.058859830002716634+0.5041472412515939j),(0.029443702429427725+0.4996072451141907j),(0.01080382975101015+0.4585758848252733j),(-0.12756521546254926+0.48339081625961267j),(-0.21342397497944457+0.5011289362969066j),(-0.2186656585345485+0.4654798993517243j),(-0.24469239525729397+0.477210802434822j),(0.35163987026170934+0.35163987026170934j)
5,(0.4792142082703527+0.29460910404631085j),(0.5225635225817669+0.28531491924763736j),(0.46675593282388694+0.5204177690052705j),(0.3670186732031265+0.43206672516030076j),(0.4001868087215703+0.4308402428775931j),(0.3841443264630508+0.4176956258952651j),(0.3949336140728943+0.5147505452946575j),(0.33853249392685175+0.5052159135420706j),(0.31902661771571544+0.6128142220901696j),(0.15804873679531964+0.587296650887278j),(0.11530139843431447+0.5375470703331067j),(0.04775053824713137+0.5706338468352657j),(0.5860664504361822+0.11721329008723645j)
6,(-0.05533464293337344-0.840542555964838j),(-0.1324820313307772-0.8905220530245973j),(0.2652953787674058-0.8765902507435998j),(0.20349897861125035-0.8886556459245378j),(0.24912384197926887-0.8809945903691879j),(0.2264055089867941-0.8710612638819184j),(0.37698407062980865-0.8702277426585462j),(0.31745203814285256-0.7836972007126715j),(0.630875268984232-0.6459894773215528j),(0.6334959783691118-0.6595805892243622j),(0.7033790485035911-0.5473644210069099j),(0.6921248062278199-0.5759815670533867j),(-0.35163987026170934-0.8204930306106551j)
7,(-0.3186328770123067+0.0694429189490573j),(-0.32465982178905295+0.035995947649633084j),(-0.3635167009848565-0.1707510306376046j),(-0.34143734030585327-0.1339742889492458j),(-0.3873210078442021-0.09173991451877746j),(-0.3448625295730853-0.0999985392590149j),(-0.30917469207196907-0.12613831690640337j),(-0.3185472473671076-0.14674093160893345j),(-0.21004768850134917-0.22486128202581918j),(-0.23171334090131832-0.22673485105793184j),(-0.21165306943002893-0.26273350203721924j),(-0.2153960693415101-0.3377306039127243j),(-0.35163987026170934+0.11721329008723645j)
8,(-0.7095365976119307-0.5883577964071834j),(-0.6794710852963713-0.5399653836046735j),(-0.4730410346151404-0.7836762261648627j),(-0.4722541497067993-0.7631836825927164j),(-0.47483911426582176-0.7366849953941973j),(-0.42893572884598874-0.78700255310879j),(-0.39112796503820746-0.7721030893149969j),(-0.3443907653670734-0.7955138642194717j),(0.002333432441965072-0.8836362131777424j),(-0.03653445659679208-0.8853190467385788j),(0.12475063173969539-0.9725954150489685j),(0.13104064434882887-0.8475070840238063j),(-0.8204930306106551-0.35163987026170934j)
9,(-0.09597674479892684-0.937035228918347j),(-0.16012631799876062-0.8915724648291992j),(0.15023672130815285-0.8715993584436535j),(0.18610366916313262-0.8495738341342299j),(0.2862603707035857-0.8265841263413595j),(0.22213706648066678-0.876128547014572j),(0.3270146655276468-0.8564148254868262j),(0.3277844591638661-0.828754707694288j),(0.6112751161488591-0.6687875897515091j),(0.5987619359244913-0.6726802859413563j),(0.7094427520046314-0.561952045017296j),(0.7022081397629237-0.5635083849190221j),(-0.35163987026170934-0.8204930306106551j)
10,(0.6930124256369349-1.1381909525549638j),(0.6913572447331916-1.1677012259686963j),(1.0025173239653244-0.8473027307830578j),(1.0314379492167087-0.8783218005484424j),(1.0813093917552055-0.8635925967740194j),(1.0983604726644596-0.811774381877418j),(1.1677174913035726-0.6706372404114617j),(1.0985126668872578-0.6913166585837475j),(1.3677404365665347-0.22055974721113905j),(1.321310567492404-0.22685903325811768j),(1.3402563944029648-0.03255855402356973j),(1.3657155574927855-0.008194740624712725j),(0.35163987026170934-1.289346190959601j)
