,K,SNR,ML Results
0,10,28.0,0.004843171961875321
1,20,28.0,0.0006595726475721185
2,30,28.0,2.700826485912592e-05
3,40,28.0,1.888549504701327e-05
4,50,28.0,1.627453666071303e-05
5,60,28.0,1.2740979019168879e-05
6,70,28.0,1.0924779716178107e-05
7,80,28.0,9.437798706908154e-06
8,90,28.0,8.297923077143731e-06
9,100,28.0,7.300660694029589e-06
10,10,33.0,2.3829627261398203e-05
11,20,33.0,1.1453866590681205e-05
12,30,33.0,7.2638927233831045e-06
13,40,33.0,5.5865305756225525e-06
14,50,33.0,4.666843388183175e-06
15,60,33.0,3.6757546247623955e-06
16,70,33.0,3.0174047877643767e-06
17,80,33.0,2.7321930299485235e-06
18,90,33.0,2.5594559583011824e-06
19,100,33.0,1.965425638921434e-06
