K,SNR,SML Results
10.0,28.0,0.007732099656054374
20.0,28.0,0.0011519864737301877
30.0,28.0,0.0002182288670493529
40.0,28.0,0.000300216640360343
50.0,28.0,0.000021506126532134295
60.0,28.0,0.00004112994535445437
70.0,28.0,0.000022401167510194275
80.0,28.0,0.000014094788659462632
90.0,28.0,0.000012493490380664153
100.0,28.0,0.00009851876424321134
10.0,33.0,0.000025966144248408423
20.0,33.0,0.000013305938128926278
30.0,33.0,8.298958564065125e-6
40.0,33.0,0.000010516733144736783
50.0,33.0,5.615586338963759e-6
60.0,33.0,4.388230749504549e-6
70.0,33.0,3.81988108027031e-6
80.0,33.0,3.5182566514572634e-6
90.0,33.0,3.1830978679935278e-6
100.0,33.0,2.9808611952827752e-6
