K,SNR,PL Results
10.0,19.0,0.13083923347002516
20.0,19.0,0.10563242131023944
30.0,19.0,0.08827008740214178
40.0,19.0,0.07546158573928129
50.0,19.0,0.06474627186596912
60.0,19.0,0.05747851020535524
70.0,19.0,0.05094594637808874
80.0,19.0,0.046224206804391224
90.0,19.0,0.041516721383319063
100.0,19.0,0.03781134976485153
110.0,19.0,0.034463110980244724
120.0,19.0,0.03254151710742035
130.0,19.0,0.027999569389907823
140.0,19.0,0.026949500751113364
150.0,19.0,0.023776877851283153
160.0,19.0,0.02391961016467254
170.0,19.0,0.021616382024006457
180.0,19.0,0.020488010137459135
190.0,19.0,0.019507064351496847
200.0,19.0,0.018491837466538815
210.0,19.0,0.01762862740386407
220.0,19.0,0.016513824477776304
230.0,19.0,0.015495947929511084
240.0,19.0,0.01488992866675579
250.0,19.0,0.014252062174596312
260.0,19.0,0.013800655163874955
270.0,19.0,0.012680455252657876
280.0,19.0,0.012936536713169255
290.0,19.0,0.012151632452954126
300.0,19.0,0.011980547393142147
310.0,19.0,0.011408041555572093
320.0,19.0,0.010871852491160294
330.0,19.0,0.01073687477780269
340.0,19.0,0.010223042545719624
350.0,19.0,0.010060990535454638
360.0,19.0,0.009651595431732916
370.0,19.0,0.00948614064514915
380.0,19.0,0.008990774751310467
390.0,19.0,0.009045349786611262
400.0,19.0,0.008678509200944554
410.0,19.0,0.008432042344050473
420.0,19.0,0.008471876034310703
430.0,19.0,0.007951635565615843
440.0,19.0,0.007883302415175493
450.0,19.0,0.007832164562236645
460.0,19.0,0.007346726378848636
470.0,19.0,0.007348404375957288
480.0,19.0,0.007231783516612572
490.0,19.0,0.007082669579503863
500.0,19.0,0.006783478922841687
510.0,19.0,0.006739073777141381
520.0,19.0,0.006637049886898587
530.0,19.0,0.006418014672004414
540.0,19.0,0.006337882663562477
550.0,19.0,0.0062663485325569
560.0,19.0,0.006176947270931077
570.0,19.0,0.006066102899685472
580.0,19.0,0.00601155590337659
590.0,19.0,0.005733414212024455
600.0,19.0,0.005821967696017239
10.0,24.0,0.1291905912110833
20.0,24.0,0.10046948827481761
30.0,24.0,0.08214275043629252
40.0,24.0,0.07239763155489579
50.0,24.0,0.0608189580001854
60.0,24.0,0.05295064965942935
70.0,24.0,0.04752333344151333
80.0,24.0,0.042680859291454695
90.0,24.0,0.03810322038369795
100.0,24.0,0.034655899093227575
110.0,24.0,0.030913700600444644
120.0,24.0,0.02897687688476523
130.0,24.0,0.026065375732224703
140.0,24.0,0.02431830154918584
150.0,24.0,0.022456829127726646
160.0,24.0,0.02132018106526156
170.0,24.0,0.01978822211891773
180.0,24.0,0.01853123205313057
190.0,24.0,0.017174012620203512
200.0,24.0,0.016385252874493546
210.0,24.0,0.015496323955125985
220.0,24.0,0.015363227210354899
230.0,24.0,0.014169520788763561
240.0,24.0,0.013482118631236394
250.0,24.0,0.012646348231839657
260.0,24.0,0.012351331490160265
270.0,24.0,0.01203748751001097
280.0,24.0,0.01147628203086102
290.0,24.0,0.011273870169700936
300.0,24.0,0.010434973686296428
310.0,24.0,0.010224872544264248
320.0,24.0,0.009932313608529282
330.0,24.0,0.009713800889284962
340.0,24.0,0.009299357794280894
350.0,24.0,0.008932695008071978
360.0,24.0,0.008839838850579422
370.0,24.0,0.008697954544972923
380.0,24.0,0.008250014855837614
390.0,24.0,0.007867558234765953
400.0,24.0,0.008104015912871609
410.0,24.0,0.007625364355213304
420.0,24.0,0.007525996470281156
430.0,24.0,0.007268786454779281
440.0,24.0,0.00742294298850168
450.0,24.0,0.007110005240755408
460.0,24.0,0.006984001629425772
470.0,24.0,0.00673755977416702
480.0,24.0,0.006509372751383002
490.0,24.0,0.006536509710535892
500.0,24.0,0.006397890194576245
510.0,24.0,0.006239423691933595
520.0,24.0,0.005990590826551008
530.0,24.0,0.006032930586707102
540.0,24.0,0.005945781625674772
550.0,24.0,0.005707199487552881
560.0,24.0,0.005691065520334436
570.0,24.0,0.005543831506316031
580.0,24.0,0.005424291738769229
590.0,24.0,0.005535980955475392
600.0,24.0,0.0054138541314854936
