,Sent,Received 1 Low,Received 1 High,Received 2 Low,Received 2 High,Received 3 Low,Received 3 High,Received 4 Low,Received 4 High,Received 5 Low,Received 5 High
0,0j,(15.74324+19j),(15.74324+24j),(25+19j),(25+24j),(45+19j),(45+24j),(65.3546372+19j),(65.3546372+24j),(75+19j),(75+24j)
1,(-0.22360679774997896-1.118033988749895j),(0.06795871140146838-1.1491265635729981j),(0.11073703568962877-1.0439647266395005j),(0.2998138741256252-1.1981264803261262j),(0.323465262029468-1.1079004209278422j),(0.6354235107900166-0.8757144531050312j),(0.5912330726227479-0.9309149115096769j),(0.9922369651122219-0.7320599359364287j),(0.9744466316100666-0.6648631883203795j),(1.0063972972424753-0.4540283375216699j),(1.0190275760830794-0.5349605122927016j)
2,(-1.118033988749895-0.6708203932499369j),(-0.9689465321152162-0.9741313567724353j),(-0.9907474946896403-0.933812774011725j),(-0.7947199811162887-1.115984912924264j),(-0.7453437738496962-0.9787835734421199j),(-0.4482603636553343-1.152054557480417j),(-0.34596380685141676-1.2363770475311315j),(0.20665383957718003-1.37260993926799j),(0.08248683633575782-1.3552234925673403j),(0.3701419685955402-1.2700651214243317j),(0.4210079690488724-1.328911724557994j)
3,(-1.118033988749895-0.22360679774997896j),(-0.9675018601767804-0.5131060775802254j),(-1.0000797315874599-0.45811113959976735j),(-0.9257950008184088-0.7692155693049425j),(-0.915378176579871-0.6925135534897935j),(-0.46750258940522593-0.9362519729098056j),(-0.6811198732620554-0.8256447985751298j),(-0.19870842229934083-1.1039833191984936j),(-0.22136232402971512-1.1865340380057499j),(-0.1925738800376158-1.1925525120172005j),(-0.14783495582149264-1.114590715656997j)
4,(0.6708203932499369-1.118033988749895j),(0.9719941736788493-0.784395764250052j),(0.94615158549351-0.885837623205099j),(1.098767172717443-0.6024981300128109j),(1.1095747880880598-0.6908575297919197j),(1.2202738874368892-0.21397201725495704j),(1.2514059475561303-0.28902399685460844j),(1.2262095689469619+0.06354686834516024j),(1.333779388276776+0.15194293715469742j),(1.236440174798668+0.32860910163383544j),(1.2219348721219974+0.36221263221641475j)
5,(0.6708203932499369+0.22360679774997896j),(0.5799115510198888+0.3961279455110626j),(0.6337401408847188+0.40265330537598437j),(0.5279917946051855+0.571216406135109j),(0.4883610689433148+0.46722933154067514j),(0.18623487888728546+0.44376953723750556j),(0.3164561915738144+0.6894972547426527j),(0.018143178436962913+0.6578657082417935j),(0.016297773525465402+0.7326325193179908j),(-0.04071051054214686+0.767471704434275j),(-0.05961520130837407+0.6372675622698694j)
6,(0.22360679774997896-0.6708203932499369j),(0.4212336274658242-0.6073908860320092j),(0.40312077898567616-0.637145128109838j),(0.5415110358376948-0.6033369693704043j),(0.416733964785846-0.560219222169978j),(0.66689666882425-0.21369603977883023j),(0.611503001431211-0.2725508799427211j),(0.683169033674522+0.07369751787841136j),(0.7295854261357625-0.13079637980885647j),(0.820882550500519+0.06918487720431113j),(0.6839308315835667+0.04485733888376568j)
7,(-0.22360679774997896-1.118033988749895j),(0.10812697318078389-1.1385897561835603j),(0.026227164010402725-1.2072901985894966j),(0.27757747158382673-0.9994788680853585j),(0.3280243216137355-1.1758477756207566j),(0.479577413453118-0.9931823238793481j),(0.5791216892435294-0.9069194546548585j),(0.9585378843747453-0.8676400161475182j),(0.8681450649895059-0.6264063001087435j),(0.9866999233945212-0.42402002353159596j),(1.0181223968908553-0.5092152690356593j)
8,(0.6708203932499369-0.22360679774997896j),(0.6489417284911715-0.16697632682268407j),(0.7420376363286912-0.052109440284835155j),(0.5347110458192244+0.18037036744746593j),(0.727868463087258+0.092110397637744j),(0.6179547344784626+0.39556838685321494j),(0.6306599452489581+0.3039459990977156j),(0.46971869334075644+0.44434263372563143j),(0.4751703398404123+0.5127253534748193j),(0.4345521157957087+0.6447715028758542j),(0.44163040337198356+0.6251826463830713j)
9,(-0.22360679774997896+1.118033988749895j),(-0.4386811087760242+0.9756373644548335j),(-0.5346668806708524+0.9765884526777204j),(-0.5395263478149842+0.9976628598498543j),(-0.7243661502739124+0.9798476553485659j),(-0.894020798596221+0.6459062663785176j),(-0.9958859755906561+0.5806200137269564j),(-1.1250703692963933+0.2848777906276728j),(-1.142188147148112+0.278580621222853j),(-1.3182975003827575+0.1528727608712941j),(-1.1218179473395136+0.06728115423830516j)
10,(0.22360679774997896+1.118033988749895j),(-0.04728781767992443+0.9931285493351085j),(-0.05543566865782695+1.1967140047169993j),(-0.27010424883326395+1.1744146859209048j),(-0.22847119071409466+1.1099176984478945j),(-0.5827280514856181+0.9781187332982424j),(-0.6200902317763755+0.9228445065075882j),(-0.8781524071682076+0.6502116631842639j),(-0.8489703733763111+0.6954487171198607j),(-1.2472722735867412+0.44663938959627564j),(-1.0441709548023073+0.5848179132645943j)
11,(-0.6708203932499369-0.22360679774997896j),(-0.5255899457066446-0.42516772348468596j),(-0.5972844983810124-0.3849534274681582j),(-0.5028263858726544-0.4447680324084079j),(-0.43374443713696753-0.5127229772388643j),(-0.43208822149347487-0.5522882597630794j),(-0.3327528521337619-0.6492868274112953j),(-0.09056809850865026-0.6441839507820014j),(-0.057955945677328397-0.6629295746571229j),(0.06635565685504381-0.5854395758273302j),(0.12538709244634183-0.7478556824319331j)
