K,SNR,ML Results
10.0,22.0,0.0037099074021476586
20.0,22.0,0.0003063294405872905
30.0,22.0,0.00011528792793728355
40.0,22.0,0.00010680893772678721
50.0,22.0,0.0000801287904600321
60.0,22.0,0.00005983692331392501
70.0,22.0,0.000056252470255484715
80.0,22.0,0.000044836961834449003
90.0,22.0,0.00004160300548320581
100.0,22.0,0.000038550711962395874
10.0,27.0,0.00009816256020197475
20.0,27.0,0.00005594134065418851
30.0,27.0,0.00003283945307518828
40.0,27.0,0.00002428641793559118
50.0,27.0,0.000020008545813415812
60.0,27.0,0.000016154701780290287
70.0,27.0,0.000014710852750166246
80.0,27.0,0.000012157459409928467
90.0,27.0,0.000010677720106563176
100.0,27.0,0.000010308560317431782
