,sent,received
0,0j,(48.74382051715399+25j)
1,(1.289346190959601+0.11721329008723645j),(0.7053031890751973+1.0678110654710848j)
2,(0.8204930306106551-1.289346190959601j),(1.4719101719334768-0.22791458199352138j)
3,(1.289346190959601-0.35163987026170934j),(1.0723136797894302+0.7248590515913643j)
4,(0.11721329008723645-1.289346190959601j),(1.0208452459654342-0.6437581768940006j)
5,(-0.11721329008723645-0.8204930306106551j),(0.49495609559186166-0.6493546858186093j)
6,(1.289346190959601+0.35163987026170934j),(0.6780764895169424+1.184472304005167j)
7,(-0.11721329008723645-0.11721329008723645j),(-0.0109800519384412-0.17616624962177724j)
8,(-0.35163987026170934-0.11721329008723645j),(-0.14285063276088808-0.37213081810069404j)
9,(0.11721329008723645-0.11721329008723645j),(0.10902329277981238+0.08899616460362607j)
10,(-0.35163987026170934-1.289346190959601j),(0.7978113143412885-1.1302373036051525j)
